Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,Solution0FoundAt,Solution1DetailedStatistics,ExplorationInitializationTime,TransformationExecutionTime,ScopePropagationTime,MustRelationPropagationTime,TypeAnalysisTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime,States,ForwardTime,BacktrackingTime,GlobalConstraintEvaluationTime,FitnessCalculationTime,ActivationSelectionTime,Decisions,MetricCalculationTime,Transformations,ScopePropagations,ScopePropagationsSolverCalls
1,1,ModelResultImpl,1307,8441,867,104,864,(TransformationExecutionTime39|ForwardTime:271|Backtrackingtime:11|GlobalConstraintEvaluationTime:12|FitnessCalculationTime:6|ActivationSelectionTime:1|SolutionCopyTime:7|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),431,39,14,0,262,197,0,7,48,271,64,12,6,1,47,0,47,30,0
1,2,ModelResultImpl,1307,8266,393,131,352,(TransformationExecutionTime14|ForwardTime:147|Backtrackingtime:0|GlobalConstraintEvaluationTime:9|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:4|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),138,14,10,0,1,28,0,4,48,147,43,9,5,0,47,0,47,30,0
1,3,ModelResultImpl,1307,9022,341,19,320,(TransformationExecutionTime15|ForwardTime:117|Backtrackingtime:0|GlobalConstraintEvaluationTime:7|FitnessCalculationTime:6|ActivationSelectionTime:1|SolutionCopyTime:2|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),134,15,8,0,1,26,0,2,53,117,22,7,6,1,52,0,52,30,0
1,4,ModelResultImpl,1307,6968,358,32,320,(TransformationExecutionTime13|ForwardTime:93|Backtrackingtime:0|GlobalConstraintEvaluationTime:7|FitnessCalculationTime:9|ActivationSelectionTime:0|SolutionCopyTime:7|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),176,13,7,0,0,14,0,7,37,93,38,7,9,0,36,0,36,30,0
1,5,ModelResultImpl,1307,5483,290,35,270,(TransformationExecutionTime11|ForwardTime:104|Backtrackingtime:1|GlobalConstraintEvaluationTime:7|FitnessCalculationTime:7|ActivationSelectionTime:0|SolutionCopyTime:3|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),115,11,6,0,1,16,0,3,52,104,21,7,7,0,51,0,51,30,0
1,6,ModelResultImpl,1307,4874,240,19,224,(TransformationExecutionTime8|ForwardTime:81|Backtrackingtime:4|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),98,8,3,0,0,16,0,1,57,81,21,6,5,0,56,0,56,30,0
1,7,ModelResultImpl,1307,5054,243,17,230,(TransformationExecutionTime6|ForwardTime:74|Backtrackingtime:5|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),111,6,3,0,0,15,0,1,62,74,18,6,5,0,61,0,61,30,0
1,8,ModelResultImpl,1307,4768,212,23,200,(TransformationExecutionTime7|ForwardTime:70|Backtrackingtime:0|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),95,7,4,0,0,12,0,1,46,70,13,5,5,0,45,0,45,30,0
1,9,ModelResultImpl,1307,5007,211,22,196,(TransformationExecutionTime6|ForwardTime:64|Backtrackingtime:0|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),99,6,3,0,1,9,0,1,41,64,15,6,5,0,40,0,40,30,0
1,10,ModelResultImpl,1307,6565,256,18,245,(TransformationExecutionTime7|ForwardTime:93|Backtrackingtime:5|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),99,7,2,0,1,22,0,1,71,93,16,6,5,0,70,0,70,30,0
1,11,ModelResultImpl,1307,5380,185,14,176,(TransformationExecutionTime4|ForwardTime:55|Backtrackingtime:0|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:2|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),92,4,2,0,1,8,0,2,38,55,10,5,5,0,37,0,37,30,0
1,12,ModelResultImpl,1307,5724,211,17,201,(TransformationExecutionTime5|ForwardTime:62|Backtrackingtime:0|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),106,5,2,0,0,12,0,1,49,62,10,5,5,0,48,0,48,30,0
1,13,ModelResultImpl,1307,6264,298,21,288,(TransformationExecutionTime8|ForwardTime:78|Backtrackingtime:0|GlobalConstraintEvaluationTime:7|FitnessCalculationTime:14|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),166,8,3,0,0,11,0,1,40,78,11,7,14,0,39,0,39,30,0
1,14,ModelResultImpl,1307,5640,206,21,196,(TransformationExecutionTime5|ForwardTime:70|Backtrackingtime:2|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),89,5,2,0,1,13,0,1,50,70,11,5,5,0,49,0,49,30,0
1,15,ModelResultImpl,1307,4625,231,20,214,(TransformationExecutionTime6|ForwardTime:77|Backtrackingtime:4|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),93,6,2,0,0,18,0,1,61,77,20,5,5,0,60,0,60,30,0
1,16,ModelResultImpl,1307,4858,219,17,209,(TransformationExecutionTime6|ForwardTime:79|Backtrackingtime:1|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),94,6,2,0,0,14,0,1,56,79,11,6,5,0,55,0,55,30,0
