Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,_Solution0FoundAt,TransformationExecutionTime,TypeAnalysisTime,MetricCalculationTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime
2,1,ModelResultImpl,19,1721,35221,15771300,32311,7042,34,1895,16580,0,1
2,2,ModelResultImpl,19,1610,35749,11651300,32635,6745,1,1736,18895,0,1
2,3,ModelResultImpl,19,1640,27258,16117300,24303,6429,0,1323,12286,0,1
2,4,ModelResultImpl,19,1634,35933,20450700,33223,6381,0,1605,20611,0,2
2,5,ModelResultImpl,19,1612,23612,11651100,19721,6887,0,1099,8730,0,0
2,6,ModelResultImpl,19,1319,22727,9964000,20364,4974,0,1147,11737,0,0
2,7,ModelResultImpl,19,1278,22340,12342400,19967,4711,0,1078,11660,0,0
2,8,ModelResultImpl,19,1292,20551,10731500,18317,4260,0,1007,11070,0,0
2,9,ModelResultImpl,19,1378,18306,12922900,15874,4176,0,928,8796,0,1
2,10,ModelResultImpl,19,1330,25726,10084700,23254,6531,0,1345,10615,0,0
2,11,ModelResultImpl,19,1229,33084,12002300,30734,5309,0,1584,19392,0,0
2,12,ModelResultImpl,19,1240,24555,9818800,22179,5967,1,1405,10083,0,0
2,13,ModelResultImpl,19,1264,28275,11451700,25939,5692,0,1395,14547,0,0
2,14,ModelResultImpl,19,1276,36197,10007300,33900,5461,0,1659,22219,0,0
2,15,ModelResultImpl,19,1230,30436,9231400,28100,5354,0,1488,16718,0,0
2,16,ModelResultImpl,19,1217,22614,8885000,20287,6795,0,1371,7299,0,0
2,17,ModelResultImpl,19,1262,29600,12922400,27253,5298,0,1528,15895,0,0
2,18,ModelResultImpl,19,1243,28214,10765500,25879,5412,0,1292,15319,0,0
2,19,ModelResultImpl,19,1299,20845,11064400,18336,5327,0,1048,8903,0,0
2,20,ModelResultImpl,19,1280,26352,10670800,23901,6709,0,1454,11410,0,1

