Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,_Solution0FoundAt,TransformationExecutionTime,TypeAnalysisTime,MetricCalculationTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime
4,1,ModelResultImpl,11,730,72467,34401400,71866,4026,10,1998,59824,0,0
4,2,ModelResultImpl,11,761,67853,11838400,67382,3819,0,1957,55882,0,0
4,3,ModelResultImpl,11,734,45541,10393700,45056,3529,0,1779,34849,0,0
4,4,ModelResultImpl,11,619,55697,17081600,55167,3617,0,1898,44356,0,0
4,5,ModelResultImpl,11,726,64846,29758900,64208,3905,0,2030,52466,0,0
4,6,ModelResultImpl,11,712,65893,13089200,65423,3972,0,2029,53618,0,0
4,7,ModelResultImpl,11,742,50982,16405400,50469,3638,0,1857,39804,0,0
4,8,ModelResultImpl,11,590,50309,15985400,49731,3572,0,1877,39187,0,0
4,9,ModelResultImpl,11,761,65533,23499900,65008,3890,0,2000,53225,0,0
4,10,ModelResultImpl,11,688,44853,23629200,44348,3255,0,1695,34758,0,0
4,11,ModelResultImpl,11,626,59167,38070600,58611,3942,0,1864,47290,0,0
4,12,ModelResultImpl,11,642,66860,18966400,66364,3732,0,1987,54960,0,0
4,13,ModelResultImpl,11,622,65317,12053900,64842,3176,0,1633,55177,0,1
4,14,ModelResultImpl,11,687,45481,79001300,44944,3485,0,1661,35036,0,0
4,15,ModelResultImpl,11,881,74988,14027700,74444,4150,0,2191,61881,0,0
4,16,ModelResultImpl,11,691,56609,11960900,56125,3776,0,1943,45015,0,0
4,17,ModelResultImpl,11,631,103459,26319900,102823,4720,0,2390,88314,0,1
4,18,ModelResultImpl,11,2263,61989,12371400,61101,3751,0,1902,50076,0,0
4,19,ModelResultImpl,11,575,75135,19514700,74621,4810,0,2552,60068,0,1
4,20,ModelResultImpl,11,1069,94884,21924000,94062,5623,0,3121,77010,0,1

