Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,TransformationExecutionTime,TypeAnalysisTime,MetricCalculationTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime,_Solution0FoundAt
5,1,InsuficientResourcesResultImpl,8,1163,301236,6700,11611,7,8030,261757,0,0,
5,2,ModelResultImpl,8,1125,214262,41193500,10675,0,7433,179009,0,1,213284
5,3,InsuficientResourcesResultImpl,8,1097,301100,1400,10110,0,6697,266325,0,0,
5,4,ModelResultImpl,8,1202,243793,34411800,11329,0,7710,206562,0,0,242815
5,5,ModelResultImpl,8,1130,266540,38153400,12190,0,8455,225879,0,1,265458
5,6,ModelResultImpl,8,1136,244077,43614700,10925,0,7347,207698,0,0,243138
5,7,ModelResultImpl,8,1263,270364,44901700,10715,0,7520,233664,0,0,269383
5,8,ModelResultImpl,8,1062,228653,36320200,11042,0,7673,191829,0,0,227652
5,9,ModelResultImpl,8,1060,284484,38198200,12105,0,8129,244192,0,1,283520
5,10,ModelResultImpl,8,1087,245757,38745600,10898,0,7835,208781,0,0,244833
5,11,InsuficientResourcesResultImpl,8,1003,302539,1700,9666,0,6798,267961,0,0,
5,12,ModelResultImpl,8,657,143583,35565200,6948,0,4448,120639,0,0,142951
5,13,ModelResultImpl,8,1061,292041,44607000,12010,0,8656,250579,0,1,291061
5,14,ModelResultImpl,8,1034,255307,37454100,11242,0,7789,217397,0,0,254393
5,15,InsuficientResourcesResultImpl,8,1194,300839,1500,9997,0,7300,265245,0,0,
5,16,ModelResultImpl,8,1070,274358,38762800,11730,0,7864,235472,0,1,273383
5,17,ModelResultImpl,8,1099,259378,84148300,11340,0,7784,221204,0,0,258553
5,18,ModelResultImpl,8,1084,255262,38991800,11989,0,7795,215829,0,1,254328
5,19,ModelResultImpl,8,1111,293515,47026100,12037,0,8609,252172,0,1,292504
5,20,ModelResultImpl,8,1106,278558,32886300,12080,0,8000,237985,0,1,277745

