Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,Solution0FoundAt,ExplorationInitializationTime,TransformationExecutionTime,ScopePropagationTime,MustRelationPropagationTime,TypeAnalysisTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime,States,ForwardTime,BacktrackingTime,GlobalConstraintEvaluationTime,FitnessCalculationTime,ActivationSelectionTime,Decisions,MetricCalculationTime,Transformations,ScopePropagations,ScopePropagationsSolverCalls
1,1,ModelResultImpl,1837,6117,12674,162,12793,948,419,38,0,340,2142,0,4,2431,5503,1800,15,15,2,0,1353,2849,233,0
1,2,ModelResultImpl,1837,3840,8029,24,8019,137,207,14,0,1,1447,0,4,2129,3825,969,13,22,0,0,959,2840,222,0
1,3,ModelResultImpl,1837,3355,8112,22,8105,107,161,8,0,0,1591,0,1,2496,3768,1001,17,20,0,0,902,3074,225,0
1,4,ModelResultImpl,1837,3652,15894,39,15875,128,340,11,0,0,3134,0,4,3748,7781,2384,26,16,1,0,1203,4288,250,0
1,5,ModelResultImpl,1837,3293,7261,17,7251,79,160,8,0,0,1362,0,1,2298,3539,888,13,17,0,0,784,3009,248,0
1,6,ModelResultImpl,1837,3235,10546,18,10530,114,213,9,0,0,1938,0,5,2260,5176,1318,22,22,0,0,1086,2910,227,0
1,7,ModelResultImpl,1837,2354,8484,13,8475,85,163,7,0,0,1700,0,1,2884,4027,1186,15,11,0,0,832,3420,244,0
1,8,ModelResultImpl,1837,2380,7128,13,7120,70,143,7,0,0,1371,0,1,2260,3366,899,10,15,0,0,814,2955,234,0
1,9,ModelResultImpl,1837,2277,8266,18,8258,83,175,8,0,0,1522,0,1,2282,4002,1080,12,10,0,0,890,2949,232,0
1,10,ModelResultImpl,1837,2470,8318,14,8308,82,183,9,0,0,1647,0,1,2284,3854,1058,19,16,0,0,916,2676,228,0
1,11,ModelResultImpl,1837,2767,7245,16,7235,107,153,8,0,0,1341,0,2,2470,3496,949,19,23,0,0,723,2833,265,0
