Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,_Solution0FoundAt,TransformationExecutionTime,TypeAnalysisTime,MetricCalculationTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime
3,1,ModelResultImpl,16,1695,34619,47365200,33379,7951,23,1005,19203,0,0
3,2,ModelResultImpl,16,1952,66272,40194500,65033,10142,0,1381,45195,0,1
3,3,ModelResultImpl,16,1882,50684,57411900,49392,9412,0,1181,31167,0,2
3,4,ModelResultImpl,16,1835,52174,29585500,50841,9443,0,1265,32497,0,1
3,5,ModelResultImpl,16,1817,37087,24158900,35809,8374,0,1106,20620,0,1
3,6,ModelResultImpl,16,1822,96082,35393500,94837,10814,0,1314,71854,0,1
3,7,ModelResultImpl,16,1845,65727,37723300,64268,10857,0,1392,42620,0,1
3,8,ModelResultImpl,16,1715,36063,56419600,34810,8195,0,1065,19928,0,2
3,9,ModelResultImpl,16,1814,53418,68855200,52040,9364,0,1248,33127,0,1
3,10,ModelResultImpl,16,1688,146193,34004300,144953,23393,0,2677,96521,0,2
3,11,ModelResultImpl,16,1887,56839,38787000,55478,11029,0,1309,34905,0,1
3,12,ModelResultImpl,16,1852,43970,32684100,42779,10114,0,1121,25234,0,1
3,13,ModelResultImpl,16,1766,68078,29662000,66581,12700,0,1445,42619,0,1
3,14,ModelResultImpl,16,2033,137006,39601900,135475,10041,0,1736,110352,0,1
3,15,ModelResultImpl,16,1792,36929,30425200,35576,8499,0,1112,19855,0,1
3,16,ModelResultImpl,16,1861,79893,19417500,78581,10278,0,1253,56995,0,0
3,17,ModelResultImpl,16,1651,34149,32888300,33294,8334,0,1016,18514,0,1
3,18,ModelResultImpl,16,1799,51965,35639300,50624,11417,0,1355,29874,0,0
3,19,ModelResultImpl,16,2032,46469,44756500,45006,10308,0,1323,25809,0,1
3,20,ModelResultImpl,16,1839,75448,32863500,74051,11465,0,1499,50558,0,1

