Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,Solution0FoundAt,ExplorationInitializationTime,TransformationExecutionTime,ScopePropagationTime,MustRelationPropagationTime,TypeAnalysisTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime,States,ForwardTime,BacktrackingTime,GlobalConstraintEvaluationTime,FitnessCalculationTime,ActivationSelectionTime,Decisions,MetricCalculationTime,Transformations,ScopePropagations,ScopePropagationsSolverCalls
1,1,ModelResultImpl,1643,5499,8730,150,8800,955,382,107,0,365,1483,0,6,1361,3560,1527,16,0,2,0,790,2113,919,0
1,2,ModelResultImpl,1643,3215,5612,28,5605,106,218,63,0,0,747,0,1,1428,2734,1077,16,0,1,0,493,1942,979,0
1,3,ModelResultImpl,1643,2911,6335,24,6328,102,206,54,0,0,1142,0,1,1884,2985,1085,24,0,1,0,560,2741,1014,0
1,4,ModelResultImpl,1643,2587,4554,22,4549,78,123,25,0,0,814,0,2,1151,2105,845,12,0,0,0,418,1833,531,0
1,5,ModelResultImpl,1643,2416,4379,16,4373,75,150,52,0,0,647,0,1,1556,2165,833,16,0,0,0,360,1967,1030,0
1,6,ModelResultImpl,1643,2028,4553,16,4547,65,123,25,0,0,814,0,2,1149,2127,821,12,0,0,0,417,1894,507,0
1,7,ModelResultImpl,1643,2041,4786,19,4777,59,154,44,0,0,755,0,1,1383,2264,901,15,0,0,0,474,2113,906,0
1,8,ModelResultImpl,1643,2032,6211,15,6202,57,208,46,0,0,1040,0,1,1798,3051,1088,12,0,0,0,561,2882,951,0
1,9,ModelResultImpl,1643,1958,4846,17,4839,75,122,26,0,0,876,0,1,1362,2205,892,16,0,0,0,421,1936,542,0
1,10,ModelResultImpl,1643,2092,5974,28,5964,71,199,58,0,0,930,0,2,1643,2898,1133,12,0,0,0,541,2259,993,0

