Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,Solution0FoundAt,Solution1DetailedStatistics,ExplorationInitializationTime,TransformationExecutionTime,ScopePropagationTime,MustRelationPropagationTime,TypeAnalysisTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime,States,ForwardTime,BacktrackingTime,GlobalConstraintEvaluationTime,FitnessCalculationTime,ActivationSelectionTime,Decisions,MetricCalculationTime,Transformations,ScopePropagations,ScopePropagationsSolverCalls
1,1,ModelResultImpl,2242,6308,1413,176,1512,(TransformationExecutionTime50|ForwardTime:425|Backtrackingtime:42|GlobalConstraintEvaluationTime:31|FitnessCalculationTime:9|ActivationSelectionTime:1|SolutionCopyTime:7|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),680,50,12,0,413,479,0,7,84,425,77,31,9,1,83,0,83,30,0
1,2,ModelResultImpl,2242,5017,676,19,645,(TransformationExecutionTime38|ForwardTime:347|Backtrackingtime:62|GlobalConstraintEvaluationTime:18|FitnessCalculationTime:12|ActivationSelectionTime:0|SolutionCopyTime:4|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),74,38,9,0,0,81,0,4,108,347,93,18,12,0,107,0,107,30,0
1,3,ModelResultImpl,2242,3852,422,20,401,(TransformationExecutionTime20|ForwardTime:201|Backtrackingtime:21|GlobalConstraintEvaluationTime:20|FitnessCalculationTime:15|ActivationSelectionTime:0|SolutionCopyTime:2|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),61,20,4,0,0,53,0,2,88,201,42,20,15,0,89,0,89,32,0
1,4,ModelResultImpl,2242,3481,371,25,362,(TransformationExecutionTime16|ForwardTime:181|Backtrackingtime:26|GlobalConstraintEvaluationTime:19|FitnessCalculationTime:12|ActivationSelectionTime:0|SolutionCopyTime:3|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),56,16,3,0,0,42,0,3,105,181,36,19,12,0,104,0,104,30,0
1,5,ModelResultImpl,2242,3814,475,25,457,(TransformationExecutionTime19|ForwardTime:211|Backtrackingtime:26|GlobalConstraintEvaluationTime:15|FitnessCalculationTime:12|ActivationSelectionTime:0|SolutionCopyTime:3|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),50,19,2,0,1,114,0,3,107,211,44,15,12,0,107,0,107,31,0
1,6,ModelResultImpl,2242,2816,212,17,201,(TransformationExecutionTime10|ForwardTime:103|Backtrackingtime:2|GlobalConstraintEvaluationTime:14|FitnessCalculationTime:10|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),38,10,2,0,1,16,0,1,66,103,13,14,10,0,65,0,65,30,0
1,7,ModelResultImpl,2242,2601,278,23,262,(TransformationExecutionTime12|ForwardTime:140|Backtrackingtime:11|GlobalConstraintEvaluationTime:10|FitnessCalculationTime:10|ActivationSelectionTime:0|SolutionCopyTime:2|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),42,12,1,0,0,28,0,2,79,140,27,10,10,0,79,0,79,31,0
1,8,ModelResultImpl,2242,2427,200,16,191,(TransformationExecutionTime7|ForwardTime:95|Backtrackingtime:6|GlobalConstraintEvaluationTime:10|FitnessCalculationTime:8|ActivationSelectionTime:0|SolutionCopyTime:2|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),39,7,1,0,0,19,0,2,78,95,15,10,8,0,77,0,77,30,0
1,9,ModelResultImpl,2242,2358,355,16,344,(TransformationExecutionTime13|ForwardTime:189|Backtrackingtime:18|GlobalConstraintEvaluationTime:20|FitnessCalculationTime:14|ActivationSelectionTime:0|SolutionCopyTime:5|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),37,13,1,0,0,40,0,5,98,189,29,20,14,0,97,0,97,30,0
1,10,ModelResultImpl,2242,2415,220,18,208,(TransformationExecutionTime8|ForwardTime:101|Backtrackingtime:5|GlobalConstraintEvaluationTime:10|FitnessCalculationTime:8|ActivationSelectionTime:0|SolutionCopyTime:3|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),49,8,1,0,0,19,0,3,79,101,17,10,8,0,78,0,78,30,0

