Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,Solution0FoundAt,ExplorationInitializationTime,TransformationExecutionTime,ScopePropagationTime,MustRelationPropagationTime,TypeAnalysisTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime,States,ForwardTime,BacktrackingTime,GlobalConstraintEvaluationTime,FitnessCalculationTime,ActivationSelectionTime,Decisions,MetricCalculationTime,Transformations,ScopePropagations,ScopePropagationsSolverCalls
1,1,ModelResultImpl,2436,7220,11084,118,11208,873,333,37,0,427,2056,0,5,2369,4931,1557,16,24,1,0,1092,3058,289,0
1,2,ModelResultImpl,2436,2992,6563,23,6555,125,151,13,0,0,1226,0,2,2457,3226,840,12,30,0,0,692,2676,324,0
1,3,ModelResultImpl,2436,2752,6147,16,6140,85,129,12,0,0,1128,0,1,2602,3038,878,16,16,0,0,609,2825,411,0
1,4,ModelResultImpl,2436,2245,5882,16,5875,69,115,8,0,0,1104,0,2,2513,2941,768,8,14,0,0,627,2809,363,0
1,5,ModelResultImpl,2436,2462,5898,17,5892,77,167,9,0,0,1114,0,2,2397,2920,740,10,13,0,0,625,2666,367,0
1,6,ModelResultImpl,2436,2206,6460,16,6446,75,140,9,0,0,1172,0,2,2152,3275,840,10,15,0,0,658,2547,325,0
1,7,ModelResultImpl,2436,3093,8809,20,8798,90,250,11,0,0,1647,0,3,2628,4379,1216,17,29,0,0,856,2969,312,0
1,8,ModelResultImpl,2436,10023,15618,19,15611,97,396,26,0,0,2374,0,2,2450,8397,2603,23,30,0,0,1344,2674,348,0
1,9,ModelResultImpl,2436,2487,7617,27,7602,71,166,9,0,0,1449,0,2,2436,3774,1098,13,16,0,0,718,2599,309,0
1,10,ModelResultImpl,2436,2940,8028,15,8020,81,175,11,0,0,1503,0,3,2621,3974,1169,17,19,0,0,704,2860,353,0
1,11,ModelResultImpl,2436,2607,6080,15,6070,63,113,6,0,0,1155,0,2,2407,3046,821,12,15,0,0,601,2824,266,0
1,12,ModelResultImpl,2436,2012,5989,12,5983,69,114,7,0,0,1202,0,1,2414,2914,794,13,15,0,0,622,2686,292,0
1,13,ModelResultImpl,2436,2331,6596,16,6589,80,139,8,0,0,1129,0,2,2354,3369,955,18,20,0,0,597,2515,273,0
1,14,ModelResultImpl,2436,3256,7740,15,7729,90,171,11,0,1,1347,0,2,2306,3902,1147,19,25,0,0,736,2530,298,0
1,15,ModelResultImpl,2436,2242,7267,14,7258,70,155,9,0,0,1231,0,1,2517,3649,1043,12,15,0,0,786,2753,303,0
1,16,ModelResultImpl,2436,2466,7153,20,7143,68,145,7,0,0,1216,0,3,2388,3687,1057,11,14,0,0,644,2568,258,0
1,17,ModelResultImpl,2436,2673,7837,16,7824,74,170,12,0,0,1297,0,2,2047,3966,1139,13,15,0,0,795,2397,324,0
1,18,ModelResultImpl,2436,2815,9328,16,9314,107,213,10,0,0,1524,0,1,2420,4808,1314,16,19,0,0,908,2998,285,0
1,19,ModelResultImpl,2436,2179,7559,18,7552,73,153,9,0,0,1353,0,1,2571,3738,1134,9,14,0,0,717,2764,331,0
1,20,ModelResultImpl,2436,2145,6837,14,6826,68,141,8,0,0,1136,0,1,2266,3529,987,14,20,0,0,650,2626,276,0
1,21,ModelResultImpl,2436,2203,6641,13,6632,68,139,8,0,0,1056,0,1,2179,3388,1015,11,25,0,0,656,2443,263,0
1,22,ModelResultImpl,2436,2191,7014,108,7000,76,147,10,0,0,1154,0,1,2504,3571,1081,17,21,0,0,669,2681,355,0
1,23,ModelResultImpl,2436,2276,8024,12,8017,87,160,9,0,0,1404,0,1,2582,3981,1182,15,17,0,0,818,2915,302,0
1,24,ModelResultImpl,2436,2317,7036,12,7028,75,145,9,0,0,1245,0,1,1866,3501,953,13,19,0,0,763,2541,296,0
1,25,ModelResultImpl,2436,2324,8080,14,8072,76,164,10,0,0,1423,0,1,2669,4059,1226,13,17,0,0,750,2922,349,0
1,26,ModelResultImpl,2436,2299,8684,12,8676,67,176,9,0,0,1752,0,1,2738,4321,1268,10,16,0,0,714,3241,342,0
1,27,ModelResultImpl,2436,2100,7844,12,7834,74,173,13,0,0,1305,0,1,2462,4039,1182,16,20,0,0,729,2673,334,0
1,28,ModelResultImpl,2436,2266,7497,13,7491,62,149,9,0,0,1397,0,2,2439,3691,1089,10,14,0,0,743,2722,319,0
1,29,ModelResultImpl,2436,2264,6602,11,6589,66,138,10,0,0,1054,0,2,2256,3400,989,11,13,0,0,663,2566,323,0
1,30,ModelResultImpl,2436,2261,7345,13,7337,62,144,7,0,0,1304,0,1,2520,3679,1091,10,16,0,0,718,2713,238,0
1,31,ModelResultImpl,2436,2539,6763,11,6748,74,138,8,0,0,1135,0,3,2234,3427,987,9,16,0,0,675,2502,265,0
1,32,ModelResultImpl,2436,2257,7952,15,7940,67,161,11,0,0,1337,0,1,2584,3990,1194,10,15,0,0,838,2987,375,0
1,33,ModelResultImpl,2436,2169,6231,11,6224,62,129,8,0,0,1082,0,1,1750,3164,864,12,14,0,0,637,2438,280,0
1,34,ModelResultImpl,2436,2227,7685,12,7677,66,159,10,0,0,1456,0,1,2018,3784,1069,16,19,0,0,792,2742,335,0
1,35,ModelResultImpl,2436,2110,6739,12,6726,68,139,8,0,0,1168,0,3,2406,3459,926,15,16,0,0,667,2667,260,0
1,36,ModelResultImpl,2436,2432,9946,16,9939,77,203,10,0,0,2068,0,2,3363,4894,1406,19,20,0,0,848,3666,341,0
1,37,ModelResultImpl,2436,2759,6376,9,6367,74,141,11,0,0,1118,0,1,2179,3217,965,20,22,0,0,581,2334,344,0
1,38,ModelResultImpl,2436,2526,7310,12,7301,69,150,9,0,0,1283,0,2,2284,3611,1042,20,17,0,0,780,2753,315,0
1,39,ModelResultImpl,2436,2152,6745,12,6737,69,132,8,0,0,1229,0,1,2336,3335,978,15,17,0,0,670,2522,271,0
1,40,ModelResultImpl,2436,2439,6258,12,6249,76,139,10,0,0,1069,0,3,1881,3154,917,9,16,0,0,609,2181,307,0
1,41,ModelResultImpl,2436,2454,6898,10,6891,61,146,9,0,0,1181,0,1,2389,3492,983,9,17,0,0,718,2672,311,0
1,42,ModelResultImpl,2436,2155,6061,16,6054,63,125,8,0,0,1050,0,1,1936,2960,869,13,13,0,0,679,2282,299,0
1,43,ModelResultImpl,2436,2235,7792,11,7784,84,159,10,0,0,1516,0,2,2384,3754,1110,18,16,0,0,783,2762,317,0
